date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:21	26720/26720	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2010:10:21%20GMT	https://preview.colorlib.com/theme/archlab/index.html	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/index.html	(from )
15:40:23	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
15:40:24	1536/1536	---MC-	200	added ('OK')	text/css	date:Mon,%2019%20Sep%202022%2010:10:23%20GMT	https://fonts.googleapis.com/css?family=Nunito+Sans:200,300,400,600,700,800,900&display=swap	/home/kumartej/websites/construct/fonts.googleapis.com/cssf586.css	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:25	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/home/kumartej/websites/construct/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:26	137313/137313	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/archlab/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.5vLssw_GBZ.css	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.5vLssw_GBZ.css	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:26	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2019%20Sep%202022%2010:10:26%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	/home/kumartej/websites/construct/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:28	18139/18139	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2010:10:27%20GMT	https://preview.colorlib.com/theme/archlab/about.html	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/about.html	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:28	2138/2138	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Sep%202022%2010:10:28%20GMT	https://preview.colorlib.com/theme/archlab/agent.html	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/agent.html	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:30	14929/14929	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2010:10:29%20GMT	https://preview.colorlib.com/theme/archlab/services.html	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/services.html	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:31	16138/16138	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2010:10:30%20GMT	https://preview.colorlib.com/theme/archlab/project.html	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/project.html	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:32	13236/13236	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2010:10:31%20GMT	https://preview.colorlib.com/theme/archlab/blog.html	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/blog.html	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:33	10671/10671	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2010:10:32%20GMT	https://preview.colorlib.com/theme/archlab/contact.html	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/contact.html	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:34	256268/256268	---M--	200	added ('OK')	image/jpeg	etag:%223e90c-5ac2dc7ac0ac0%22	https://preview.colorlib.com/theme/archlab/images/bg_1.jpg	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/images/bg_1.jpg	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:35	198145/198145	---M--	200	added ('OK')	image/jpeg	etag:%2230601-5ac2dc7bb4d00%22	https://preview.colorlib.com/theme/archlab/images/about.jpg	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/images/about.jpg	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:36	152637/152637	---M--	200	added ('OK')	image/jpeg	etag:%222543d-5ac2dc79cc880%22	https://preview.colorlib.com/theme/archlab/images/about-2.jpg	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/images/about-2.jpg	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:38	2138/2138	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Sep%202022%2010:10:38%20GMT	https://preview.colorlib.com/theme/archlab/work.html	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/work.html	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:38	356973/356973	---M--	200	added ('OK')	image/jpeg	etag:%225726d-5ac2dc8af7100%22	https://preview.colorlib.com/theme/archlab/images/work-1.jpg	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/images/work-1.jpg	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:39	303670/303670	---M--	200	added ('OK')	image/jpeg	etag:%224a236-5ac2dc8beb340%22	https://preview.colorlib.com/theme/archlab/images/work-2.jpg	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/images/work-2.jpg	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:40	128577/128577	---M--	200	added ('OK')	image/jpeg	etag:%221f641-5ac2dc8beb340%22	https://preview.colorlib.com/theme/archlab/images/work-3.jpg	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/images/work-3.jpg	(from https://preview.colorlib.com/theme/archlab/index.html)
15:40:41	263095/263095	---M--	200	added ('OK')	image/jpeg	etag:%22403b7-5ac2dc8cdf580%22	https://preview.colorlib.com/theme/archlab/images/work-4.jpg	/home/kumartej/websites/construct/preview.colorlib.com/theme/archlab/images/work-4.jpg	(from https://preview.colorlib.com/theme/archlab/index.html)
