HTTrack3.49-2 launched on Mon, 19 Sep 2022 15:40:20 at https://preview.colorlib.com/theme/archlab/index.html +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/*
(webhttrack -q -%i -w https://preview.colorlib.com/theme/archlab/index.html -O "/home/kumartej/websites/construct" -n -%P -N0 -s2 -p7 -D -a -K0 -c4 -%k -A25000 -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -%s -%u )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

15:41:05	Error: 	"Not Found" (404) at link https://preview.colorlib.com/theme/archlab/agent.html (from https://preview.colorlib.com/theme/archlab/index.html)
15:41:15	Error: 	"Not Found" (404) at link https://preview.colorlib.com/theme/archlab/work.html (from https://preview.colorlib.com/theme/archlab/index.html)
15:41:28	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/bg_1.jpg
15:41:29	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/about.jpg
15:41:29	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/about-2.jpg
15:41:35	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/work-1.jpg
15:41:37	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/work-2.jpg
15:41:37	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/work-3.jpg
15:41:41	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/work-4.jpg
15:41:44	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/person_1.jpg
15:41:45	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/work-5.jpg
15:41:46	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/person_3.jpg
15:41:46	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/person_2.jpg
15:41:48	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/image_1.jpg
15:41:49	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/image_3.jpg
15:41:49	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/image_2.jpg
15:41:50	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js
15:41:50	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/image_4.jpg
15:41:51	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/js/jquery-migrate-3.0.1.min.js+popper.min.js+bootstrap.min.js.pagespeed.jc.wB-8Egr3I1.js
15:41:52	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/js/jquery.min.js
15:41:53	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/js/jquery.easing.1.3.js+jquery.waypoints.min.js+jquery.stellar.min.js+owl.carousel.min.js.pagespeed.jc.gdd2Ajt39U.js
15:41:53	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/js/jquery.magnific-popup.min.js+jquery.animateNumber.min.js+scrollax.min.js+google-map.js+main.js.pagespeed.jc.f9xvyuZdgK.js
15:41:53	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/bg_2.jpg
15:41:56	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/xwork-1.jpg.pagespeed.ic.LW6SjTYvLs.jpg
15:41:56	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/xwork-2.jpg.pagespeed.ic.Qd4fARgGlg.jpg
15:41:56	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/xabout-2.jpg.pagespeed.ic.AijHKAABsW.jpg
15:41:57	Error: 	"Bad Request" (400) at link https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z= (from https://preview.colorlib.com/theme/archlab/index.html)
15:41:57	Warning: 	HTML file (2138 bytes) retransferred due to lack of cache: https://preview.colorlib.com/theme/archlab/work.html
15:41:57	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/xwork-3.jpg.pagespeed.ic.mqlBZh6eu-.jpg
15:41:58	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/xwork-4.jpg.pagespeed.ic.DDGDabJtv1.jpg
15:41:58	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/xbg_2.jpg.pagespeed.ic.-jUg0ElTNI.jpg
15:41:58	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/work-6.jpg
15:41:59	Warning: 	Retry after error -4 (Interrupted transfer) at link https://preview.colorlib.com/theme/archlab/work.html (from https://preview.colorlib.com/theme/archlab/index.html)
15:41:59	Warning: 	HTML file (20427 bytes) retransferred due to lack of cache: https://preview.colorlib.com/theme/archlab/blog-single.html
15:42:00	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/work-7.jpg
15:42:00	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/work-8.jpg
15:42:00	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/work-9.jpg
15:42:01	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/image_5.jpg
15:42:02	Warning: 	Retry after error -4 (Interrupted transfer) at link https://preview.colorlib.com/theme/archlab/blog-single.html (from https://preview.colorlib.com/theme/archlab/index.html)
15:42:03	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://preview.colorlib.com/theme/archlab/images/image_6.jpg
15:42:07	Error: 	"Not Found" (404) at link https://preview.colorlib.com/theme/archlab/css/owl.video.play.png (from https://preview.colorlib.com/theme/archlab/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.5vLssw_GBZ.css)
15:42:08	Warning: 	HTML file (2138 bytes) retransferred due to lack of cache: https://preview.colorlib.com/theme/archlab/work.html
15:42:08	Warning: 	HTML file (20427 bytes) retransferred due to lack of cache: https://preview.colorlib.com/theme/archlab/blog-single.html
15:42:09	Warning: 	Retry after error -4 (Interrupted transfer) at link https://preview.colorlib.com/theme/archlab/work.html (from https://preview.colorlib.com/theme/archlab/index.html)
15:42:09	Warning: 	HTML file (2138 bytes) retransferred due to lack of cache: https://preview.colorlib.com/theme/archlab/work.html
15:42:10	Warning: 	Retry after error -4 (Interrupted transfer) at link https://preview.colorlib.com/theme/archlab/blog-single.html (from https://preview.colorlib.com/theme/archlab/index.html)
15:42:10	Warning: 	HTML file (20427 bytes) retransferred due to lack of cache: https://preview.colorlib.com/theme/archlab/blog-single.html
15:42:10	Error: 	"Interrupted transfer" (-4) after 2 retries at link https://preview.colorlib.com/theme/archlab/work.html (from https://preview.colorlib.com/theme/archlab/index.html)
15:42:11	Error: 	"Interrupted transfer" (-4) after 2 retries at link https://preview.colorlib.com/theme/archlab/blog-single.html (from https://preview.colorlib.com/theme/archlab/index.html)

HTTrack Website Copier/3.49-2 mirror complete in 1 minutes 51 seconds : 75 links scanned, 98 files written (12467366 bytes overall) [9156571 bytes received at 82491 bytes/sec], 1905067 bytes transferred using HTTP compression in 30 files, ratio 29%, 5.1 requests per connection
(6 errors, 43 warnings, 0 messages)
